file	president	date	title
29497.txt	Franklin Pierce	1856-12-02	 Fourth Annual Message
29511.txt	Ulysses S. Grant	1870-12-05	 Second Annual Message
14418.txt	Harry S. Truman	1952-01-09	 Annual Message to the Congress on the State of the Union
10416.txt	Dwight D. Eisenhower	1955-01-06	 Annual Message to the Congress on the State of the Union
29556.txt	Woodrow Wilson	1915-12-07	 Third Annual Message
29520.txt	Rutherford B. Hayes	1879-12-01	 Third Annual Message
29536.txt	Grover Cleveland	1895-12-02	 Third Annual Message (second term)
22933.txt	Herbert Hoover	1931-12-08	 Annual Message to the Congress on the State of the Union.
28338.txt	Lyndon B. Johnson	1967-01-10	 Annual Message to the Congress on the State of the Union.
33062.txt	Jimmy Carter	1980-01-21	 The State of the Union Annual Message to the Congress
29487.txt	James K. Polk	1846-12-08	 Second Annual Message
29523.txt	Chester A. Arthur	1882-12-04	 Second Annual Message
29535.txt	Grover Cleveland	1894-12-03	 Second Annual Message (second term)
29333.txt	Lyndon B. Johnson	1969-01-14	 Annual Message to the Congress on the State of the Union
26787.txt	Lyndon B. Johnson	1964-01-08	 Annual Message to the Congress on the State of the Union.
53358.txt	William J. Clinton	1997-02-04	 Address Before a Joint Session of the Congress on the State of the Union
29538.txt	William McKinley	1897-12-06	 First Annual Message
29495.txt	Franklin Pierce	1854-12-04	 Second Annual Message
29533.txt	Benjamin Harrison	1892-12-06	 Fourth Annual Message
28738.txt	Lyndon B. Johnson	1968-01-17	 Annual Message to the Congress on the State of the Union.
29548.txt	Theodore Roosevelt	1907-12-03	 Seventh Annual Message
29553.txt	William Howard Taft	1912-12-03	 Fourth Annual Message
29477.txt	Andrew Jackson	1835-12-07	 Seventh Annual Message
29555.txt	Woodrow Wilson	1914-12-08	 Second Annual Message
13005.txt	Harry S. Truman	1948-01-07	 Annual Message to the Congress on the State of the Union
29435.txt	George Washington	1793-12-03	 Fifth Annual Message
16092.txt	Franklin D. Roosevelt	1941-01-06	 Annual Message to Congress on the State of the Union
29494.txt	Franklin Pierce	1853-12-05	 First Annual Message
11029.txt	Dwight D. Eisenhower	1957-01-10	 Annual Message to the Congress on the State of the Union
29646.txt	George W. Bush	2004-01-20	 Address Before a Joint Session of the Congress on the State of the Union
29514.txt	Ulysses S. Grant	1873-12-01	 Fifth Annual Message
30867.txt	Jimmy Carter	1978-01-19	 The State of the Union Annual Message to the Congress
29460.txt	James Monroe	1818-11-16	 Second Annual Message
29546.txt	Theodore Roosevelt	1905-12-05	 Fifth Annual Message
29565.txt	Calvin Coolidge	1924-12-03	 Second Annual Message
29526.txt	Grover Cleveland	1885-12-08	 First Annual Message (first term)
29507.txt	Andrew Johnson	1866-12-03	 Second Annual Message
32735.txt	Jimmy Carter	1979-01-25	 The State of the Union Annual Message to the Congress
29456.txt	James Madison	1814-09-20	 Sixth Annual Message
29446.txt	Thomas Jefferson	1804-11-08	 Fourth Annual Message
29516.txt	Ulysses S. Grant	1875-12-07	 Seventh Annual Message
29479.txt	Martin van Buren	1837-12-05	 First Annual Message
29454.txt	James Madison	1812-11-04	 Fourth Annual Message
29544.txt	Theodore Roosevelt	1903-12-07	 Third Annual Message
29561.txt	Woodrow Wilson	1920-12-07	 8th Annual Message
29442.txt	John Adams	1800-11-11	 Fourth Annual Message
29467.txt	John Quincy Adams	1825-12-06	 First Annual Message
14890.txt	Franklin D. Roosevelt	1935-01-04	 Annual Message to Congress
29518.txt	Rutherford B. Hayes	1877-12-03	 First Annual Message
29545.txt	Theodore Roosevelt	1904-12-06	 Fourth Annual Message
29502.txt	Abraham Lincoln	1861-12-03	 First Annual Message
14017.txt	Harry S. Truman	1951-01-08	 Annual Message to the Congress on the State of the Union
29472.txt	Andrew Jackson	1830-12-06	 Second Annual Message
