token	pos
Fellow-Citizens	NNS
of	IN
the	DT
Senate	NNP
and	CC
House	NNP
of	IN
Representatives	NNPS
:	:
Another	DT
year	NN
of	IN
health	NN
and	CC
of	IN
sufficiently	RB
abundant	JJ
harvests	NNS
has	VBZ
passed	VBN
.	.
For	IN
these	DT
,	,
and	CC
especially	RB
for	IN
the	DT
improved	JJ
condition	NN
of	IN
our	PRP$
national	JJ
affairs	NNS
,	,
our	PRP$
renewed	VBN
and	CC
profoundest	NN
gratitude	NN
to	TO
God	NNP
is	VBZ
due	JJ
.	.
We	PRP
remain	VBP
in	IN
peace	NN
and	CC
friendship	NN
with	IN
foreign	JJ
powers	NNS
.	.
The	DT
efforts	NNS
of	IN
disloyal	JJ
citizens	NNS
of	IN
the	DT
United	NNP
States	NNP
to	TO
involve	VB
us	PRP
in	IN
foreign	JJ
wars	NNS
to	TO
aid	VB
an	DT
inexcusable	JJ
insurrection	NN
have	VBP
been	VBN
unavailing	JJ
.	.
Her	PRP$
Britannic	NNP
Majesty	NNP
's	POS
Government	NNP
,	,
as	RB
was	VBD
justly	RB
expected	VBN
,	,
have	VBP
exercised	VBN
their	PRP$
authority	NN
to	TO
prevent	VB
the	DT
departure	NN
of	IN
new	JJ
hostile	JJ
expeditions	NNS
from	IN
British	JJ
ports	NNS
.	.
The	DT
Emperor	NNP
of	IN
France	NNP
has	VBZ
by	IN
a	DT
like	JJ
proceeding	NN
promptly	RB
vindicated	VBD
the	DT
neutrality	NN
which	WDT
he	PRP
proclaimed	VBD
at	IN
the	DT
beginning	NN
of	IN
the	DT
contest	NN
.	.
Questions	NNS
of	IN
great	JJ
intricacy	NN
and	CC
importance	NN
have	VBP
arisen	VBN
out	IN
of	IN
the	DT
blockade	NN
and	CC
other	JJ
belligerent	NN
operations	NNS
between	IN
the	DT
Government	NN
and	CC
several	JJ
of	IN
the	DT
maritime	NN
powers	NNS
,	,
but	CC
they	PRP
have	VBP
been	VBN
discussed	VBN
and	CC
,	,
as	RB
far	RB
as	IN
was	VBD
possible	JJ
,	,
accommodated	VBN
in	IN
a	DT
spirit	NN
of	IN
frankness	NN
,	,
justice	NN
,	,
and	CC
mutual	JJ
good	JJ
will	NN
.	.
It	PRP
is	VBZ
especially	RB
gratifying	JJ
that	IN
our	PRP$
prize	NN
courts	NNS
,	,
by	IN
the	DT
impartiality	NN
of	IN
their	PRP$
adjudications	NNS
,	,
have	VBP
commanded	VBN
the	DT
respect	NN
and	CC
confidence	NN
of	IN
maritime	NN
powers	NNS
.	.
The	DT
supplemental	JJ
treaty	NN
between	IN
the	DT
United	NNP
States	NNP
and	CC
Great	NNP
Britain	NNP
for	IN
the	DT
suppression	NN
of	IN
the	DT
African	JJ
slave	NN
trade	NN
,	,
made	VBN
on	IN
the	DT
17th	JJ
day	NN
of	IN
February	NNP
last	JJ
,	,
has	VBZ
been	VBN
duly	RB
ratified	VBN
and	CC
carried	VBN
into	IN
execution	NN
.	.
It	PRP
is	VBZ
believed	VBN
that	IN
so	RB
far	RB
as	IN
American	JJ
ports	NNS
and	CC
American	JJ
citizens	NNS
are	VBP
concerned	JJ
that	IN
inhuman	JJ
and	CC
odious	JJ
traffic	NN
has	VBZ
been	VBN
brought	VBN
to	TO
an	DT
end	NN
.	.
I	PRP
shall	MD
submit	VB
for	IN
the	DT
consideration	NN
of	IN
the	DT
Senate	NNP
a	DT
convention	NN
for	IN
the	DT
adjustment	NN
of	IN
possessory	JJ
claims	NNS
in	IN
Washington	NNP
Territory	NNP
arising	VBG
out	IN
of	IN
the	DT
treaty	NN
of	IN
the	DT
15th	JJ
June	NNP
,	,
1846	CD
,	,
between	IN
the	DT
United	NNP
States	NNP
and	CC
Great	NNP
Britain	NNP
,	,
and	CC
which	WDT
have	VBP
been	VBN
the	DT
source	NN
of	IN
some	DT
disquiet	JJ
among	IN
the	DT
citizens	NNS
of	IN
that	DT
now	RB
rapidly	RB
improving	VBG
part	NN
of	IN
the	DT
country	NN
.	.
A	DT
novel	NN
and	CC
important	JJ
question	NN
,	,
involving	VBG
the	DT
extent	NN
of	IN
the	DT
maritime	NN
jurisdiction	NN
of	IN
Spain	NNP
in	IN
the	DT
waters	NNS
which	WDT
surround	VBD
the	DT
island	NN
of	IN
Cuba	NNP
,	,
has	VBZ
been	VBN
debated	VBN
without	IN
reaching	VBG
an	DT
agreement	NN
,	,
and	CC
it	PRP
is	VBZ
proposed	VBN
in	IN
an	DT
amicable	JJ
spirit	NN
to	TO
refer	VB
it	PRP
to	TO
the	DT
arbitrament	NN
of	IN
a	DT
friendly	JJ
power	NN
.	.
A	DT
convention	NN
for	IN
that	DT
purpose	NN
will	MD
be	VB
submitted	VBN
to	TO
the	DT
Senate	NNP
.	.
I	PRP
have	VBP
thought	VBN
it	PRP
proper	JJ
,	,
subject	JJ
to	TO
the	DT
approval	NN
of	IN
the	DT
Senate	NNP
,	,
to	TO
concur	VB
with	IN
the	DT
interested	JJ
commercial	JJ
powers	NNS
in	IN
an	DT
arrangement	NN
for	IN
the	DT
liquidation	NN
of	IN
the	DT
Scheldt	NNP
dues	NNS
,	,
upon	IN
the	DT
principles	NNS
which	WDT
have	VBP
been	VBN
heretofore	RB
adopted	VBN
in	IN
regard	NN
to	TO
the	DT
imposts	NNS
upon	IN
navigation	NN
in	IN
the	DT
waters	NNS
of	IN
Denmark	NNP
.	.
The	DT
long-pending	JJ
controversy	NN
between	IN
this	DT
Government	NN
and	CC
that	DT
of	IN
Chile	NNP
touching	VBG
the	DT
seizure	NN
at	IN
Sitana	NNP
,	,
in	IN
Peru	NNP
,	,
by	IN
Chilean	JJ
officers	NNS
,	,
of	IN
a	DT
large	JJ
amount	NN
in	IN
treasure	NN
belonging	VBG
to	TO
citizens	NNS
of	IN
the	DT
United	NNP
States	NNP
has	VBZ
been	VBN
brought	VBN
to	TO
a	DT
close	NN
by	IN
the	DT
award	NN
of	IN
His	PRP$
Majesty	NNP
the	DT
King	NNP
of	IN
the	DT
Belgians	NNPS
,	,
to	TO
whose	WP$
arbitration	NN
the	DT
question	NN
was	VBD
referred	VBN
by	IN
the	DT
parties	NNS
.	.
The	DT
subject	NN
was	VBD
thoroughly	RB
and	CC
patiently	RB
examined	VBN
by	IN
that	DT
justly	RB
respected	VBN
magistrate	NN
,	,
and	CC
although	IN
the	DT
sum	NN
awarded	VBD
to	TO
the	DT
claimants	NNS
may	MD
not	RB
have	VB
been	VBN
as	RB
large	JJ
as	IN
they	PRP
expected	VBD
there	EX
is	VBZ
no	DT
reason	NN
to	TO
distrust	VB
the	DT
wisdom	NN
of	IN
His	PRP$
Majesty	NNP
's	POS
decision	NN
.	.
That	DT
decision	NN
was	VBD
promptly	RB
complied	VBN
with	IN
by	IN
Chile	NNP
when	WRB
intelligence	NN
in	IN
regard	NN
to	TO
it	PRP
reached	VBD
that	DT
country	NN
.	.
The	DT
joint	JJ
commission	NN
under	IN
the	DT
act	NN
of	IN
the	DT
last	JJ
session	NN
for	IN
carrying	VBG
into	IN
effect	NN
the	DT
convention	NN
with	IN
Peru	NNP
on	IN
the	DT
subject	NN
of	IN
claims	NNS
has	VBZ
been	VBN
organized	VBN
at	IN
Lima	NNP
,	,
and	CC
is	VBZ
engaged	VBN
in	IN
the	DT
business	NN
intrusted	VBD
to	TO
it	PRP
.	.
Difficulties	NNS
concerning	VBG
interoceanic	JJ
transit	NN
through	IN
Nicaragua	NNP
are	VBP
in	IN
course	NN
of	IN
amicable	JJ
adjustment	NN
.	.
In	IN
conformity	NN
with	IN
principles	NNS
set	VBN
forth	RB
in	IN
my	PRP$
last	JJ
annual	JJ
message	NN
,	,
I	PRP
have	VBP
received	VBN
a	DT
representative	NN
from	IN
the	DT
United	NNP
States	NNP
of	IN
Colombia	NNP
,	,
and	CC
have	VBP
accredited	VBN
a	DT
minister	NN
to	TO
that	DT
Republic	NNP
.	.
Incidents	NNS
occurring	VBG
in	IN
the	DT
progress	NN
of	IN
our	PRP$
civil	JJ
war	NN
have	VBP
forced	VBN
upon	IN
my	PRP$
attention	NN
the	DT
uncertain	JJ
state	NN
of	IN
international	JJ
questions	NNS
touching	VBG
the	DT
rights	NNS
of	IN
foreigners	NNS
in	IN
this	DT
country	NN
and	CC
of	IN
United	NNP
States	NNPS
citizens	NNS
abroad	RB
.	.
In	IN
regard	NN
to	TO
some	DT
governments	NNS
these	DT
rights	NNS
are	VBP
at	IN
least	JJS
partially	RB
,	,
defined	VBN
by	IN
treaties	NNS
.	.
In	IN
no	DT
instance	NN
,	,
however	RB
,	,
is	VBZ
it	PRP
expressly	RB
stipulated	JJ
that	IN
in	IN
the	DT
event	NN
of	IN
civil	JJ
war	NN
a	DT
foreigner	NN
residing	NN
in	IN
this	DT
country	NN
within	IN
the	DT
lines	NNS
of	IN
the	DT
insurgents	NNS
is	VBZ
to	TO
be	VB
exempted	VBN
from	IN
the	DT
rule	NN
which	WDT
classes	NNS
him	PRP
as	IN
a	DT
belligerent	NN
,	,
in	IN
whose	WP$
behalf	NN
the	DT
Government	NNP
or	CC
his	PRP$
country	NN
can	MD
not	RB
expect	VB
any	DT
privileges	NNS
or	CC
immunities	NNS
distinct	JJ
from	IN
that	DT
character	NN
.	.
I	PRP
regret	VBP
to	TO
say	VB
,	,
however	RB
,	,
that	IN
such	JJ
claims	NNS
have	VBP
been	VBN
put	VBN
forward	RB
,	,
and	CC
in	IN
some	DT
instances	NNS
in	IN
behalf	NN
of	IN
foreigners	NNS
who	WP
have	VBP
lived	VBN
in	IN
the	DT
United	NNP
States	NNPS
the	DT
greater	JJR
part	NN
of	IN
their	PRP$
lives	NNS
.	.
There	EX
is	VBZ
reason	NN
to	TO
believe	VB
that	IN
many	JJ
persons	NNS
born	VBN
in	IN
foreign	JJ
countries	NNS
who	WP
have	VBP
declared	VBN
their	PRP$
intention	NN
to	TO
become	VB
citizens	NNS
,	,
or	CC
who	WP
have	VBP
been	VBN
fully	RB
naturalized	VBN
,	,
have	VBP
evaded	VBN
the	DT
military	JJ
duty	NN
required	VBN
of	IN
them	PRP
by	IN
denying	VBG
the	DT
fact	NN
and	CC
thereby	RB
throwing	VBG
upon	IN
the	DT
Government	NNP
the	DT
burden	NN
of	IN
proof	NN
.	.
It	PRP
has	VBZ
been	VBN
found	VBN
difficult	JJ
or	CC
impracticable	JJ
to	TO
obtain	VB
this	DT
proof	NN
,	,
from	IN
the	DT
want	NN
of	IN
guides	NNS
to	TO
the	DT
proper	JJ
sources	NNS
of	IN
information	NN
.	.
These	DT
might	MD
be	VB
supplied	VBN
by	IN
requiring	VBG
clerks	NNS
of	IN
courts	NNS
where	WRB
declarations	NNS
of	IN
intention	NN
may	MD
be	VB
made	VBN
or	CC
naturalizations	NNS
effected	VBD
to	TO
send	VB
periodically	RB
lists	NNS
of	IN
the	DT
names	NNS
of	IN
the	DT
persons	NNS
naturalized	VBN
or	CC
declaring	VBG
their	PRP$
intention	NN
to	TO
become	VB
citizens	NNS
to	TO
